group,function,value,sample_time_nanos,iteration_count
call price,,,1287439.0,26
call price,,,3538308.0,52
call price,,,2859987.0,78
call price,,,3785015.0,104
call price,,,5940881.0,130
call price,,,6330093.0,156
call price,,,6664904.0,182
call price,,,7678834.0,208
call price,,,8617262.0,234
call price,,,9673695.0,260
call price,,,11152840.0,286
call price,,,11417248.0,312
call price,,,13338406.0,338
call price,,,13252604.0,364
call price,,,14611046.0,390
call price,,,15523973.0,416
call price,,,16645107.0,442
call price,,,17886945.0,468
call price,,,18965078.0,494
call price,,,18929977.0,520
call price,,,20246217.0,546
call price,,,21604859.0,572
call price,,,23002201.0,598
call price,,,22959799.0,624
call price,,,27084826.0,650
call price,,,29888811.0,676
call price,,,26191098.0,702
call price,,,27427536.0,728
call price,,,28924382.0,754
call price,,,27516238.0,780
call price,,,31055947.0,806
call price,,,34347946.0,832
call price,,,31065647.0,858
call price,,,33729028.0,884
call price,,,33192712.0,910
call price,,,39372900.0,936
call price,,,39388300.0,962
call price,,,36318707.0,988
call price,,,37361339.0,1014
call price,,,38278866.0,1040
call price,,,39628608.0,1066
call price,,,41665270.0,1092
call price,,,41475864.0,1118
call price,,,41056951.0,1144
call price,,,44445255.0,1170
call price,,,59654418.0,1196
call price,,,50660644.0,1222
call price,,,52569502.0,1248
call price,,,45426084.0,1274
call price,,,60134133.0,1300
call price,,,48060465.0,1326
call price,,,54889673.0,1352
call price,,,49839419.0,1378
call price,,,55429989.0,1404
call price,,,57366248.0,1430
call price,,,53804440.0,1456
call price,,,59863724.0,1482
call price,,,55746499.0,1508
call price,,,56602425.0,1534
call price,,,57962767.0,1560
call price,,,58313078.0,1586
call price,,,59520514.0,1612
call price,,,62041992.0,1638
call price,,,60991959.0,1664
call price,,,72874522.0,1690
call price,,,64024151.0,1716
call price,,,64399664.0,1742
call price,,,68406685.0,1768
call price,,,71162169.0,1794
call price,,,64623670.0,1820
call price,,,76081320.0,1846
call price,,,76560934.0,1872
call price,,,69579021.0,1898
call price,,,77810472.0,1924
call price,,,70946163.0,1950
call price,,,76832642.0,1976
call price,,,88098585.0,2002
call price,,,78163782.0,2028
call price,,,79800033.0,2054
call price,,,75786810.0,2080
call price,,,77877774.0,2106
call price,,,77381859.0,2132
call price,,,82270108.0,2158
call price,,,83081733.0,2184
call price,,,82031701.0,2210
call price,,,81413882.0,2236
call price,,,96244234.0,2262
call price,,,84759084.0,2288
call price,,,83482244.0,2314
call price,,,90849770.0,2340
call price,,,86351732.0,2366
call price,,,90883371.0,2392
call price,,,96401539.0,2418
call price,,,100776972.0,2444
call price,,,100690669.0,2470
call price,,,92271713.0,2496
call price,,,91459588.0,2522
call price,,,96963956.0,2548
call price,,,94800090.0,2574
call price,,,97094060.0,2600
