group,function,value,sample_time_nanos,iteration_count
call price,,,907712.0,29
call price,,,1965128.0,58
call price,,,2934841.0,87
call price,,,3881954.0,116
call price,,,4915968.0,145
call price,,,5890382.0,174
call price,,,6903296.0,203
call price,,,7860310.0,232
call price,,,8787222.0,261
call price,,,9917838.0,290
call price,,,10785251.0,319
call price,,,11798664.0,348
call price,,,12716777.0,377
call price,,,13803892.0,406
call price,,,14615904.0,435
call price,,,15556717.0,464
call price,,,16514230.0,493
call price,,,17587945.0,522
call price,,,18277154.0,551
call price,,,19510572.0,580
call price,,,20276983.0,609
call price,,,21314396.0,638
call price,,,22281011.0,667
call price,,,23308324.0,696
call price,,,24287139.0,725
call price,,,25183851.0,754
call price,,,26378367.0,783
call price,,,27448882.0,812
call price,,,28530398.0,841
call price,,,29198306.0,870
call price,,,30170421.0,899
call price,,,32649454.0,928
call price,,,32125348.0,957
call price,,,33018860.0,986
call price,,,34116375.0,1015
call price,,,34761184.0,1044
call price,,,35982201.0,1073
call price,,,36875813.0,1102
call price,,,37798727.0,1131
call price,,,38959342.0,1160
call price,,,39507351.0,1189
call price,,,40511064.0,1218
call price,,,41739881.0,1247
call price,,,42492292.0,1276
call price,,,43826311.0,1305
call price,,,44650322.0,1334
call price,,,45558234.0,1363
call price,,,46611749.0,1392
call price,,,47271859.0,1421
call price,,,48308573.0,1450
call price,,,49078183.0,1479
call price,,,50052398.0,1508
call price,,,51228313.0,1537
call price,,,52224528.0,1566
call price,,,53031338.0,1595
call price,,,54860664.0,1624
call price,,,55729677.0,1653
call price,,,56721290.0,1682
call price,,,58330312.0,1711
call price,,,58891821.0,1740
call price,,,59942035.0,1769
call price,,,60734446.0,1798
call price,,,61927162.0,1827
call price,,,62770274.0,1856
call price,,,63897190.0,1885
call price,,,65105107.0,1914
call price,,,66074721.0,1943
call price,,,66654728.0,1972
call price,,,67564241.0,2001
call price,,,69137163.0,2030
call price,,,70061676.0,2059
call price,,,73410223.0,2088
call price,,,71075690.0,2117
call price,,,72299907.0,2146
call price,,,73632825.0,2175
call price,,,74242934.0,2204
call price,,,75183847.0,2233
call price,,,76342863.0,2262
call price,,,77367578.0,2291
call price,,,78111488.0,2320
call price,,,78787297.0,2349
call price,,,80035815.0,2378
call price,,,81518536.0,2407
call price,,,82619350.0,2436
call price,,,83439463.0,2465
call price,,,84400075.0,2494
call price,,,84596179.0,2523
call price,,,89274243.0,2552
call price,,,87868824.0,2581
call price,,,88102427.0,2610
call price,,,89327845.0,2639
call price,,,89797550.0,2668
call price,,,91183770.0,2697
call price,,,92286686.0,2726
call price,,,93070196.0,2755
call price,,,94281114.0,2784
call price,,,94891021.0,2813
call price,,,96717948.0,2842
call price,,,97658060.0,2871
call price,,,98454071.0,2900
