group,function,value,sample_time_nanos,iteration_count
put theta,,,3188482.0,15
put theta,,,2057552.0,30
put theta,,,3113080.0,45
put theta,,,4122406.0,60
put theta,,,5203133.0,75
put theta,,,6231060.0,90
put theta,,,7265486.0,105
put theta,,,8282712.0,120
put theta,,,9315239.0,135
put theta,,,10346865.0,150
put theta,,,11342991.0,165
put theta,,,12403917.0,180
put theta,,,13438745.0,195
put theta,,,14730477.0,210
put theta,,,15603500.0,225
put theta,,,18059763.0,240
put theta,,,17549549.0,255
put theta,,,18678479.0,270
put theta,,,19602702.0,285
put theta,,,20794933.0,300
put theta,,,21754457.0,315
put theta,,,22826385.0,330
put theta,,,23868112.0,345
put theta,,,24841736.0,360
put theta,,,25914764.0,375
put theta,,,27094895.0,390
put theta,,,28050818.0,405
put theta,,,28896641.0,420
put theta,,,30165773.0,435
put theta,,,31171398.0,450
put theta,,,32011120.0,465
put theta,,,33148850.0,480
put theta,,,34148075.0,495
put theta,,,35346505.0,510
put theta,,,39080802.0,525
put theta,,,40030425.0,540
put theta,,,38340483.0,555
put theta,,,39380809.0,570
put theta,,,40541038.0,585
put theta,,,41470061.0,600
put theta,,,42379085.0,615
put theta,,,43469412.0,630
put theta,,,44539940.0,645
put theta,,,45640668.0,660
put theta,,,46474489.0,675
put theta,,,48023629.0,690
put theta,,,48701046.0,705
put theta,,,49749273.0,720
put theta,,,50724298.0,735
put theta,,,51836027.0,750
put theta,,,52994356.0,765
put theta,,,53844478.0,780
put theta,,,55052408.0,795
put theta,,,55942132.0,810
put theta,,,57057860.0,825
put theta,,,58198389.0,840
put theta,,,58856606.0,855
put theta,,,60020536.0,870
put theta,,,61191165.0,885
put theta,,,62149788.0,900
put theta,,,63115813.0,915
put theta,,,64155040.0,930
put theta,,,65272768.0,945
put theta,,,66684404.0,960
put theta,,,67315921.0,975
put theta,,,68226743.0,990
put theta,,,69296371.0,1005
put theta,,,70347098.0,1020
put theta,,,71316123.0,1035
put theta,,,72245146.0,1050
put theta,,,73708484.0,1065
put theta,,,74352301.0,1080
put theta,,,75574131.0,1095
put theta,,,76905463.0,1110
put theta,,,78435102.0,1125
put theta,,,78742710.0,1140
put theta,,,79866738.0,1155
put theta,,,80888865.0,1170
put theta,,,81751187.0,1185
put theta,,,82808613.0,1200
put theta,,,84216250.0,1215
put theta,,,85257276.0,1230
put theta,,,86221201.0,1245
put theta,,,87012921.0,1260
put theta,,,87977246.0,1275
put theta,,,89041870.0,1290
put theta,,,89928792.0,1305
put theta,,,91066422.0,1320
put theta,,,92305053.0,1335
put theta,,,93036672.0,1350
put theta,,,103019926.0,1365
put theta,,,95387832.0,1380
put theta,,,98135102.0,1395
put theta,,,97350782.0,1410
put theta,,,98096700.0,1425
put theta,,,99248429.0,1440
put theta,,,100341155.0,1455
put theta,,,101147575.0,1470
put theta,,,102582112.0,1485
put theta,,,103297030.0,1500
