group,function,value,sample_time_nanos,iteration_count
put theta,,,1066715.0,28
put theta,,,1992828.0,56
put theta,,,2998141.0,84
put theta,,,4006456.0,112
put theta,,,4993669.0,140
put theta,,,6001584.0,168
put theta,,,6997097.0,196
put theta,,,8084112.0,224
put theta,,,9030326.0,252
put theta,,,10049640.0,280
put theta,,,11100254.0,308
put theta,,,12044667.0,336
put theta,,,13198984.0,364
put theta,,,14569702.0,392
put theta,,,15175711.0,420
put theta,,,16149924.0,448
put theta,,,17097138.0,476
put theta,,,18448056.0,504
put theta,,,19219968.0,532
put theta,,,20146680.0,560
put theta,,,21533999.0,588
put theta,,,22370111.0,616
put theta,,,23259023.0,644
put theta,,,24134135.0,672
put theta,,,25306952.0,700
put theta,,,26281865.0,728
put theta,,,27369280.0,756
put theta,,,28108890.0,784
put theta,,,29098403.0,812
put theta,,,31003530.0,840
put theta,,,31415135.0,868
put theta,,,32382949.0,896
put theta,,,33614566.0,924
put theta,,,34355576.0,952
put theta,,,35342890.0,980
put theta,,,36334204.0,1008
put theta,,,37195816.0,1036
put theta,,,38628735.0,1064
put theta,,,39609549.0,1092
put theta,,,40230258.0,1120
put theta,,,41596476.0,1148
put theta,,,42420688.0,1176
put theta,,,43610605.0,1204
put theta,,,44311614.0,1232
put theta,,,45531631.0,1260
put theta,,,46241741.0,1288
put theta,,,47794463.0,1316
put theta,,,48327470.0,1344
put theta,,,49816490.0,1372
put theta,,,50755404.0,1400
put theta,,,51650416.0,1428
put theta,,,55110263.0,1456
put theta,,,54034049.0,1484
put theta,,,54887961.0,1512
put theta,,,55738873.0,1540
put theta,,,56583684.0,1568
put theta,,,57803601.0,1596
put theta,,,58619813.0,1624
put theta,,,59744328.0,1652
put theta,,,60734842.0,1680
put theta,,,61842957.0,1708
put theta,,,62596468.0,1736
put theta,,,63967586.0,1764
put theta,,,65201904.0,1792
put theta,,,66141117.0,1820
put theta,,,66821126.0,1848
put theta,,,69562364.0,1876
put theta,,,68622652.0,1904
put theta,,,69812567.0,1932
put theta,,,71269788.0,1960
put theta,,,71942497.0,1988
put theta,,,73078413.0,2016
put theta,,,74122128.0,2044
put theta,,,75028540.0,2072
put theta,,,76328158.0,2100
put theta,,,77897780.0,2128
put theta,,,77811878.0,2156
put theta,,,79582703.0,2184
put theta,,,80065510.0,2212
put theta,,,83207953.0,2240
put theta,,,82822849.0,2268
put theta,,,84147666.0,2296
put theta,,,85612187.0,2324
put theta,,,86306796.0,2352
put theta,,,87329410.0,2380
put theta,,,88188123.0,2408
put theta,,,89065934.0,2436
put theta,,,90510755.0,2464
put theta,,,90709557.0,2492
put theta,,,92681785.0,2520
put theta,,,93520096.0,2548
put theta,,,94335708.0,2576
put theta,,,95116918.0,2604
put theta,,,96383936.0,2632
put theta,,,97808756.0,2660
put theta,,,98600567.0,2688
put theta,,,100200389.0,2716
put theta,,,100670995.0,2744
put theta,,,101579008.0,2772
put theta,,,102860326.0,2800
